txn_id,customer_id,store_id,sku_category,txn_type,amount_paid,timestamp
TXN-100036,CUST-10074,STR-001,Garden,PURCHASE,$15.99,2026-02-27 09:10:06
TXN-100037,CUST-10248,STR-001,Lumber,PURCHASE,38.41,2026-03-01 06:10:06
TXN-100038,CUST-10046,STR-002,Lumber,Purchase,$64.1,2026-02-08 06:10:06
TXN-100039,CUST-10132,STR-002,Lumber,Purchase,35.29,2026-02-09 15:10:06
TXN-100040,CUST-10361,STR-003,Garden,Purchase,92.67,2026-02-10 15:10:06
TXN-100041,CUST-10688,STR-003,Hardware,purch,34.0,2026-02-06 13:10:06
TXN-100042,CUST-10575,STR-002,Lumber,PURCHASE,$81.88,2026-02-16 00:10:06
TXN-100043,CUST-10238,STR-001,Paint,PURCHASE,$70.65,2026-02-24 22:10:06
TXN-100044,CUST-10714,STR-001,Lumber,PURCHASE,84.8,2026-03-04 17:10:06
TXN-100045,CUST-10029,STR-001,Lumber,PURCHASE,56.51,2026-02-11 00:10:06
TXN-100046,CUST-10016,STR-001,Lumber,Purchase,$111.37,2026-03-03 11:10:06
TXN-100047,CUST-10552,STR-003,Hardware,purch,50.61,2026-02-10 13:10:06
TXN-100048,CUST-10655,STR-002,Lumber,Purchase,19.65,2026-02-22 22:10:06
TXN-100049,CUST-10949,STR-002,Garden,purch,128.95,2026-02-27 18:10:06
TXN-100050,CUST-10626,STR-001,Garden,Return,$65.5,2026-02-07 14:10:06
TXN-100051,CUST-10309,STR-001,Hardware,PURCHASE,64.66,2026-02-19 09:10:06
TXN-100052,CUST-10463,STR-001,Garden,Purchase,96.07,2026-02-18 15:10:06
TXN-100053,CUST-10810,STR-003,Hardware,Purchase,$111.45,2026-02-21 06:10:06
TXN-100054,CUST-10358,STR-003,Garden,purch,$149.27,2026-02-03 22:10:06
TXN-100055,CUST-10499,STR-003,Paint,purch,$58.75,2026-02-08 00:10:06
TXN-100056,CUST-10097,STR-003,Paint,PURCHASE,$82.92,2026-02-23 10:10:06
TXN-100057,CUST-10394,STR-001,Lumber,Purchase,43.68,2026-02-21 21:10:06
TXN-100058,CUST-10642,STR-004,Paint,PURCHASE,$130.57,2026-02-05 09:10:06
TXN-100059,,STR-001,Garden,purch,45.23,2026-02-26 01:10:06
TXN-100060,CUST-10620,STR-002,Garden,Purchase,$118.08,2026-02-14 18:10:06
TXN-100061,CUST-10797,STR-001,Lumber,Purchase,$79.41,2026-02-12 08:10:06
TXN-100062,CUST-10383,STR-003,Hardware,Purchase,$145.95,2026-02-06 10:10:06
TXN-100063,CUST-10061,STR-002,Paint,purch,97.51,2026-02-06 00:10:06
TXN-100064,CUST-10670,STR-001,Garden,PURCHASE,$95.57,2026-03-01 12:10:06
TXN-100065,CUST-10535,STR-004,Hardware,Purchase,140.2,2026-02-09 13:10:06
TXN-100066,CUST-10884,STR-002,Garden,purch,137.65,2026-02-11 18:10:06
TXN-100067,CUST-10351,STR-004,Paint,Purchase,$126.56,2026-03-03 07:10:06
TXN-100068,CUST-10497,STR-002,Hardware,PURCHASE,15.65,2026-03-03 10:10:06
TXN-100069,CUST-10481,STR-003,Hardware,PURCHASE,136.2,2026-02-03 14:10:06
TXN-100070,CUST-10316,STR-003,Garden,Purchase,$48.1,2026-02-25 02:10:06
TXN-100071,CUST-10095,STR-003,Lumber,PURCHASE,$114.53,2026-02-10 11:10:06
TXN-100072,CUST-10880,STR-002,Hardware,purch,73.98,2026-02-17 18:10:06
TXN-100073,CUST-10617,STR-004,Garden,purch,81.17,2026-02-16 00:10:06
TXN-100074,CUST-10347,STR-003,Hardware,PURCHASE,87.11,2026-02-16 15:10:06
TXN-100075,CUST-10010,STR-001,Paint,purch,$19.21,2026-02-14 15:10:06
TXN-100076,CUST-10390,STR-001,Paint,Purchase,79.4,2026-02-07 10:10:06
TXN-100077,CUST-10527,STR-001,Lumber,purch,106.0,2026-02-17 12:10:06
TXN-100078,CUST-10094,STR-002,Hardware,Purchase,94.79,2026-02-13 05:10:06
TXN-100079,CUST-10856,STR-004,Paint,Purchase,93.89,2026-02-16 13:10:06
TXN-100080,CUST-10408,STR-004,Garden,PURCHASE,61.77,2026-02-23 13:10:06
TXN-100081,CUST-10223,STR-004,Garden,purch,$17.38,2026-02-27 15:10:06
TXN-100082,CUST-10269,STR-001,Paint,Purchase,134.33,2026-02-25 14:10:06
TXN-100083,CUST-10331,STR-004,Hardware,PURCHASE,79.3,2026-02-20 23:10:06
TXN-100084,CUST-10518,STR-003,Garden,PURCHASE,114.99,2026-02-15 02:10:06
TXN-100085,CUST-10031,STR-003,Lumber,Purchase,$28.26,2026-03-03 12:10:06
TXN-100086,CUST-10222,STR-002,Paint,Purchase,121.66,2026-02-10 10:10:06
TXN-100087,CUST-10095,STR-003,Hardware,purch,87.13,2026-02-09 18:10:06
TXN-100088,CUST-10071,STR-003,Paint,PURCHASE,$105.69,2026-03-03 23:10:06
TXN-100089,CUST-10045,STR-003,Lumber,PURCHASE,50.78,2026-02-09 08:10:06
TXN-100090,CUST-10012,STR-003,Paint,PURCHASE,35.65,2026-02-20 15:10:06
TXN-100091,CUST-10884,STR-002,Lumber,PURCHASE,62.5,2026-02-08 05:10:06
TXN-100092,CUST-10107,STR-002,Garden,Purchase,$119.6,2026-02-13 04:10:06
TXN-100093,CUST-10775,STR-003,Garden,PURCHASE,63.62,2026-02-13 05:10:06
TXN-100094,CUST-10270,STR-004,Lumber,Purchase,126.38,2026-03-02 16:10:06
TXN-100095,CUST-10193,STR-002,Garden,Purchase,71.35,2026-02-12 14:10:06
TXN-100096,CUST-10628,STR-002,Lumber,Purchase,43.83,2026-03-05 03:10:06
TXN-100097,CUST-10832,STR-003,Garden,purch,129.84,2026-02-15 23:10:06
TXN-100098,CUST-10158,STR-002,Lumber,Purchase,56.76,2026-02-14 07:10:06
TXN-100099,CUST-10213,STR-002,Garden,Purchase,10.39,2026-03-01 05:10:06
TXN-100100,CUST-10746,STR-001,Garden,PURCHASE,34.98,2026-03-03 08:10:06
TXN-100101,CUST-10861,STR-002,Paint,Purchase,$55.49,2026-02-28 13:10:06
TXN-100102,CUST-10160,STR-004,Garden,Purchase,121.86,2026-02-12 11:10:06
TXN-100103,CUST-11000,STR-004,Garden,Purchase,47.01,2026-02-13 08:10:06
TXN-100104,CUST-10019,STR-003,Lumber,PURCHASE,41.8,2026-03-04 01:10:06
TXN-100105,CUST-10370,STR-004,Lumber,purch,$122.08,2026-02-06 03:10:06
TXN-100106,CUST-10617,STR-002,Lumber,PURCHASE,$111.07,2026-02-22 08:10:06
TXN-100107,CUST-10098,STR-001,Paint,purch,24.5,2026-02-18 16:10:06
TXN-100108,CUST-10012,STR-003,Garden,Purchase,135.25,2026-03-02 04:10:06
TXN-100109,CUST-10501,STR-003,Paint,purch,120.68,2026-02-06 07:10:06
TXN-100110,CUST-10763,STR-004,Paint,PURCHASE,$78.01,2026-02-07 04:10:06
TXN-100111,CUST-10237,STR-003,Garden,Purchase,10.54,2026-02-13 03:10:06
TXN-100112,CUST-10695,STR-003,Garden,Purchase,$109.03,2026-02-21 07:10:06
TXN-100113,CUST-10887,STR-004,Garden,PURCHASE,106.83,2026-02-15 11:10:06
TXN-100114,CUST-10145,STR-003,Garden,Purchase,40.73,2026-02-03 23:10:06
TXN-100115,CUST-10907,STR-002,Hardware,Purchase,123.15,2026-02-16 01:10:06
TXN-100116,CUST-10818,STR-002,Paint,purch,90.37,2026-02-19 19:10:06
TXN-100117,CUST-10574,STR-001,Paint,PURCHASE,83.88,2026-02-09 10:10:06
TXN-100118,CUST-10274,STR-001,Garden,purch,94.96,2026-02-11 16:10:06
TXN-100119,CUST-10089,STR-003,Hardware,Purchase,$56.78,2026-02-18 01:10:06
TXN-100120,CUST-10499,STR-003,Hardware,Purchase,$131.53,2026-03-04 02:10:06
TXN-100121,CUST-10639,STR-002,Lumber,Purchase,$102.38,2026-02-21 21:10:06
TXN-100122,CUST-10791,STR-002,Paint,Purchase,84.45,2026-02-16 11:10:06
TXN-100123,CUST-10987,STR-004,Garden,Purchase,$21.97,2026-02-14 13:10:06
TXN-100124,CUST-10152,STR-003,Hardware,PURCHASE,135.23,2026-02-16 15:10:06
TXN-100125,CUST-10462,STR-001,Garden,ret,$39.22,2026-02-20 21:10:06
TXN-100126,CUST-10700,STR-001,Lumber,Purchase,131.63,2026-02-03 08:10:06
TXN-100127,CUST-10707,STR-004,Hardware,Purchase,86.94,2026-02-17 18:10:06
TXN-100128,CUST-10624,STR-002,Garden,Purchase,$13.45,2026-02-12 08:10:06
TXN-100129,CUST-10972,STR-002,Lumber,ret,65.48,2026-03-03 06:10:06
TXN-100130,CUST-10310,STR-002,Garden,ret,22.46,2026-03-04 19:10:06
TXN-100131,CUST-10836,STR-003,Hardware,Purchase,39.27,2026-02-23 22:10:06
TXN-100132,CUST-10616,STR-001,Hardware,PURCHASE,104.33,2026-02-04 12:10:06
TXN-100133,CUST-10248,STR-003,Lumber,purch,$102.28,2026-02-26 11:10:06
TXN-100134,CUST-10754,STR-004,Hardware,Purchase,140.01,2026-03-04 02:10:06
TXN-100135,CUST-10450,STR-001,Garden,Purchase,139.74,2026-02-28 09:10:06
TXN-100136,CUST-10268,STR-001,Garden,Purchase,61.62,2026-02-17 12:10:06
TXN-100137,CUST-10173,STR-001,Garden,ret,39.1,2026-02-05 04:10:06
TXN-100138,CUST-10790,STR-003,Paint,Purchase,36.55,2026-02-19 23:10:06
TXN-100139,CUST-10826,STR-001,Lumber,PURCHASE,25.96,2026-02-22 06:10:06
TXN-100140,CUST-10380,STR-003,Lumber,Purchase,37.44,2026-02-24 11:10:06
TXN-100141,CUST-10296,STR-004,Paint,Purchase,$63.14,2026-02-12 12:10:06
TXN-100142,CUST-10942,STR-004,Hardware,PURCHASE,$83.14,2026-02-04 00:10:06
TXN-100143,CUST-10369,STR-002,Hardware,purch,$24.47,2026-02-06 00:10:06
TXN-100144,CUST-10133,STR-002,Garden,purch,68.15,2026-02-08 07:10:06
TXN-100145,CUST-10085,STR-003,Hardware,ret,70.89,2026-02-19 06:10:06
TXN-100146,CUST-10617,STR-003,Lumber,purch,45.24,2026-02-20 01:10:06
TXN-100147,CUST-10625,STR-002,Lumber,PURCHASE,111.58,2026-02-25 00:10:06
TXN-100148,CUST-10888,STR-004,Hardware,PURCHASE,25.61,2026-02-24 02:10:06
TXN-100149,CUST-10008,STR-002,Lumber,ret,90.44,2026-02-22 03:10:06
TXN-100150,CUST-10922,STR-002,Paint,RETURN,13.11,2026-02-21 12:10:06
TXN-100151,CUST-10726,STR-001,Garden,Purchase,140.67,2026-02-25 04:10:06
TXN-100152,CUST-10585,STR-003,Lumber,Purchase,$87.48,2026-02-24 12:10:06
TXN-100153,CUST-10207,STR-002,Paint,Purchase,128.84,2026-02-15 02:10:06
TXN-100154,CUST-10979,STR-001,Lumber,Purchase,43.81,2026-02-23 01:10:06
TXN-100155,CUST-10042,STR-004,Paint,PURCHASE,44.49,2026-02-21 03:10:06
TXN-100156,CUST-10313,STR-004,Garden,purch,114.12,2026-02-12 13:10:06
TXN-100157,CUST-10449,STR-003,Hardware,Purchase,144.86,2026-02-16 17:10:06
TXN-100158,CUST-10776,STR-002,Hardware,purch,33.48,2026-02-20 02:10:06
TXN-100159,CUST-10269,STR-001,Paint,PURCHASE,136.0,2026-02-28 15:10:06
TXN-100160,CUST-10371,STR-001,Garden,PURCHASE,$140.3,2026-02-06 13:10:06
TXN-100161,CUST-10844,STR-003,Lumber,PURCHASE,132.73,2026-02-08 15:10:06
TXN-100162,CUST-10296,STR-004,Lumber,purch,118.93,2026-02-27 17:10:06
TXN-100163,CUST-10885,STR-002,Garden,Purchase,29.34,2026-02-11 18:10:06
TXN-100164,CUST-10805,STR-001,Garden,Purchase,93.83,2026-02-15 21:10:06
TXN-100165,CUST-10354,STR-004,Paint,ret,57.93,2026-02-04 09:10:06
TXN-100166,CUST-10440,STR-002,Paint,RETURN,104.99,2026-03-01 06:10:06
TXN-100167,CUST-10532,STR-002,Lumber,purch,149.9,2026-03-02 10:10:06
TXN-100168,CUST-10312,STR-001,Hardware,Purchase,$84.19,2026-02-07 14:10:06
TXN-100169,CUST-10525,STR-001,Garden,Purchase,149.33,2026-02-06 08:10:06
TXN-100170,CUST-10290,STR-001,Lumber,Purchase,12.03,2026-02-26 09:10:06
TXN-100171,CUST-10249,STR-001,Lumber,PURCHASE,20.8,2026-02-22 15:10:06
TXN-100172,CUST-10500,STR-003,Garden,PURCHASE,120.92,2026-02-11 07:10:06
TXN-100173,CUST-10061,STR-004,Paint,PURCHASE,37.6,2026-02-15 11:10:06
TXN-100174,CUST-10394,STR-001,Hardware,purch,91.35,2026-02-12 12:10:06
TXN-100175,CUST-10466,STR-003,Hardware,PURCHASE,132.9,2026-02-12 14:10:06
TXN-100176,CUST-10841,STR-003,Lumber,PURCHASE,86.34,2026-03-05 02:10:06
TXN-100177,CUST-10494,STR-003,Lumber,PURCHASE,$115.83,2026-02-06 01:10:06
TXN-100178,CUST-10232,STR-002,Lumber,RETURN,84.22,2026-02-06 00:10:06
TXN-100179,CUST-10656,STR-002,Hardware,PURCHASE,$149.42,2026-02-11 00:10:06
TXN-100180,CUST-10677,STR-004,Lumber,Purchase,$18.55,2026-02-17 08:10:06
TXN-100181,CUST-10494,STR-004,Hardware,purch,39.69,2026-02-23 06:10:06
TXN-100182,CUST-10561,STR-003,Lumber,purch,84.51,2026-02-04 09:10:06
TXN-100183,CUST-10588,STR-001,Garden,purch,$48.87,2026-02-11 01:10:06
TXN-100184,CUST-10710,STR-003,Garden,purch,49.33,2026-02-28 04:10:06
TXN-100185,CUST-10136,STR-004,Garden,Purchase,19.3,2026-02-03 07:10:06
TXN-100186,CUST-10332,STR-001,Paint,Purchase,130.76,2026-02-13 02:10:06
TXN-100187,CUST-10740,STR-002,Lumber,PURCHASE,88.69,2026-02-06 01:10:06
TXN-100188,CUST-10429,STR-001,Paint,PURCHASE,77.13,2026-02-22 14:10:06
TXN-100189,CUST-10705,STR-001,Paint,purch,83.84,2026-02-03 22:10:06
TXN-100190,CUST-10170,STR-004,Garden,purch,$119.02,2026-02-28 16:10:06
TXN-100191,CUST-10719,STR-002,Lumber,purch,31.95,2026-02-25 21:10:06
TXN-100192,CUST-10192,STR-003,Paint,purch,21.56,2026-02-06 13:10:06
TXN-100193,CUST-10418,STR-004,Paint,PURCHASE,146.76,2026-02-19 07:10:06
TXN-100194,CUST-10116,STR-001,Lumber,Purchase,64.36,2026-02-15 16:10:06
TXN-100195,CUST-10352,STR-002,Lumber,PURCHASE,22.68,2026-02-05 18:10:06
TXN-100196,CUST-10041,STR-002,Lumber,PURCHASE,95.1,2026-03-04 18:10:06
TXN-100197,CUST-10157,STR-002,Paint,Purchase,104.18,2026-03-03 11:10:06
TXN-100198,CUST-10076,STR-002,Lumber,Purchase,28.41,2026-03-01 20:10:06
TXN-100199,CUST-10125,STR-001,Paint,PURCHASE,32.13,2026-02-14 01:10:06
TXN-100200,CUST-10237,STR-004,Paint,Purchase,31.28,2026-02-15 19:10:06
TXN-100201,CUST-10607,STR-003,Garden,purch,$22.54,2026-02-10 17:10:06
TXN-100202,CUST-10805,STR-001,Garden,PURCHASE,97.39,2026-02-24 01:10:06
TXN-100203,CUST-10913,STR-003,Paint,Purchase,$84.47,2026-02-21 07:10:06
TXN-100204,CUST-10753,STR-004,Hardware,PURCHASE,$71.89,2026-02-22 18:10:06
TXN-100205,CUST-10750,STR-003,Hardware,purch,89.01,2026-02-16 11:10:06
TXN-100206,CUST-10945,STR-003,Lumber,purch,$85.92,2026-02-07 16:10:06
TXN-100207,CUST-10243,STR-002,Paint,purch,$48.78,2026-03-01 13:10:06
TXN-100208,CUST-10427,STR-004,Paint,Purchase,$30.62,2026-03-03 07:10:06
TXN-100209,CUST-10808,STR-001,Lumber,purch,$102.72,2026-02-22 11:10:06
TXN-100210,CUST-10200,STR-001,Hardware,PURCHASE,40.44,2026-02-18 06:10:06
TXN-100211,CUST-10884,STR-001,Garden,purch,$127.84,2026-02-25 01:10:06
TXN-100212,CUST-10735,STR-001,Lumber,purch,$12.24,2026-02-23 20:10:06
TXN-100213,CUST-10789,STR-003,Hardware,PURCHASE,102.68,2026-02-12 09:10:06
TXN-100214,CUST-10265,STR-002,Paint,PURCHASE,27.72,2026-02-09 19:10:06
TXN-100215,CUST-10442,STR-003,Paint,purch,$131.0,2026-02-21 08:10:06
TXN-100216,CUST-10578,STR-002,Hardware,purch,$34.67,2026-02-16 13:10:06
TXN-100217,CUST-10072,STR-003,Paint,PURCHASE,17.21,2026-02-22 03:10:06
TXN-100218,CUST-10124,STR-003,Paint,PURCHASE,145.42,2026-03-01 20:10:06
TXN-100219,CUST-10351,STR-003,Garden,purch,72.09,2026-02-20 20:10:06
TXN-100220,CUST-10113,STR-003,Hardware,PURCHASE,$14.88,2026-02-06 05:10:06
TXN-100221,CUST-10623,STR-003,Paint,Purchase,72.11,2026-02-03 20:10:06
TXN-100222,CUST-10784,STR-004,Paint,purch,64.31,2026-02-10 00:10:06
TXN-100223,CUST-10493,STR-002,Lumber,PURCHASE,46.2,2026-02-24 13:10:06
TXN-100224,CUST-10333,STR-002,Paint,purch,49.69,2026-02-28 03:10:06
TXN-100225,CUST-10828,STR-002,Hardware,PURCHASE,38.99,2026-02-16 22:10:06
TXN-100226,CUST-10342,STR-004,Lumber,purch,19.68,2026-02-27 10:10:06
TXN-100227,,STR-004,Hardware,purch,42.64,2026-02-25 11:10:06
TXN-100228,CUST-10564,STR-001,Garden,Purchase,87.99,2026-02-27 19:10:06
TXN-100229,CUST-10770,STR-002,Garden,PURCHASE,$13.86,2026-02-24 14:10:06
TXN-100230,CUST-10035,STR-004,Paint,Purchase,12.88,2026-03-04 10:10:06
TXN-100231,CUST-10731,STR-004,Garden,PURCHASE,$67.38,2026-02-15 21:10:06
TXN-100232,CUST-10719,STR-002,Paint,PURCHASE,75.24,2026-02-09 18:10:06
TXN-100233,CUST-10786,STR-004,Hardware,purch,138.5,2026-03-04 07:10:06
TXN-100234,CUST-10758,STR-003,Paint,purch,88.81,2026-03-01 17:10:06
TXN-100235,CUST-10722,STR-002,Lumber,purch,133.03,2026-02-16 01:10:06
TXN-100236,CUST-10223,STR-002,Lumber,Purchase,88.13,2026-03-03 17:10:06
TXN-100237,CUST-10677,STR-004,Lumber,Return,28.46,2026-02-05 15:10:06
TXN-100238,CUST-10090,STR-002,Garden,Purchase,$90.64,2026-02-24 07:10:06
TXN-100239,CUST-10885,STR-002,Garden,PURCHASE,$33.23,2026-02-26 19:10:06
TXN-100240,CUST-10453,STR-002,Paint,Purchase,105.37,2026-03-01 20:10:06
TXN-100241,CUST-10921,STR-002,Garden,ret,66.83,2026-03-04 08:10:06
TXN-100242,CUST-10251,STR-002,Hardware,PURCHASE,92.07,2026-02-21 19:10:06
TXN-100243,CUST-10866,STR-001,Lumber,purch,14.91,2026-02-21 19:10:06
TXN-100244,CUST-10345,STR-003,Paint,purch,117.27,2026-02-27 04:10:06
TXN-100245,CUST-10108,STR-004,Lumber,Purchase,$46.91,2026-02-11 23:10:06
TXN-100246,CUST-10332,STR-002,Garden,Purchase,71.97,2026-02-28 17:10:06
TXN-100247,CUST-10024,STR-001,Hardware,Purchase,$54.76,2026-02-23 07:10:06
TXN-100248,CUST-10084,STR-001,Garden,Purchase,24.34,2026-02-15 02:10:06
TXN-100249,CUST-10901,STR-003,Paint,purch,$106.01,2026-02-15 00:10:06
TXN-100250,CUST-10787,STR-004,Lumber,PURCHASE,118.6,2026-02-25 10:10:06
TXN-100251,CUST-10272,STR-003,Garden,Purchase,132.22,2026-03-03 02:10:06
TXN-100252,CUST-10196,STR-001,Lumber,PURCHASE,138.51,2026-02-08 09:10:06
TXN-100253,CUST-10726,STR-003,Lumber,Purchase,110.96,2026-02-23 08:10:06
TXN-100254,CUST-10116,STR-001,Paint,purch,99.85,2026-02-12 14:10:06
TXN-100255,CUST-10050,STR-002,Paint,Purchase,129.68,2026-02-10 16:10:06
TXN-100256,CUST-10530,STR-001,Hardware,PURCHASE,$73.61,2026-02-04 16:10:06
TXN-100257,CUST-10608,STR-002,Lumber,purch,$30.18,2026-02-14 08:10:06
TXN-100258,CUST-10689,STR-002,Lumber,PURCHASE,22.27,2026-02-22 00:10:06
TXN-100259,CUST-10300,STR-001,Hardware,PURCHASE,$51.11,2026-02-24 06:10:06
TXN-100260,CUST-10557,STR-003,Lumber,purch,15.62,2026-02-12 03:10:06
TXN-100261,CUST-10459,STR-003,Paint,PURCHASE,36.61,2026-02-28 19:10:06
TXN-100262,CUST-10423,STR-003,Lumber,ret,13.02,2026-02-20 07:10:06
TXN-100263,CUST-10064,STR-001,Paint,Purchase,$72.64,2026-02-21 05:10:06
TXN-100264,CUST-10218,STR-001,Hardware,Purchase,135.43,2026-02-11 15:10:06
TXN-100265,CUST-10116,STR-001,Lumber,PURCHASE,$126.29,2026-02-04 14:10:06
TXN-100266,CUST-10987,STR-003,Hardware,PURCHASE,65.56,2026-02-14 12:10:06
TXN-100267,CUST-10652,STR-001,Paint,PURCHASE,98.06,2026-03-01 00:10:06
TXN-100268,CUST-10435,STR-002,Lumber,PURCHASE,93.16,2026-02-18 22:10:06
TXN-100269,CUST-10560,STR-002,Lumber,Purchase,74.0,2026-02-05 04:10:06
TXN-100270,CUST-10902,STR-003,Garden,PURCHASE,22.46,2026-02-17 09:10:06
TXN-100271,CUST-10451,STR-003,Lumber,PURCHASE,28.61,2026-02-28 12:10:06
TXN-100272,CUST-10832,STR-001,Garden,Purchase,$72.75,2026-03-04 15:10:06
TXN-100273,CUST-10215,STR-002,Paint,purch,30.39,2026-02-03 14:10:06
TXN-100274,CUST-10798,STR-001,Garden,purch,87.2,2026-02-27 14:10:06
TXN-100275,CUST-10233,STR-003,Hardware,PURCHASE,65.65,2026-02-12 15:10:06
TXN-100276,CUST-10630,STR-003,Lumber,Purchase,12.8,2026-02-21 14:10:06
TXN-100277,CUST-10707,STR-003,Hardware,PURCHASE,107.02,2026-02-13 06:10:06
TXN-100278,CUST-10599,STR-003,Garden,purch,$124.53,2026-02-28 23:10:06
TXN-100279,CUST-10545,STR-004,Hardware,PURCHASE,16.2,2026-02-14 10:10:06
TXN-100280,CUST-10412,STR-004,Paint,PURCHASE,$135.73,2026-02-05 18:10:06
TXN-100281,CUST-10876,STR-002,Hardware,Purchase,134.49,2026-02-28 02:10:06
TXN-100282,CUST-10410,STR-003,Paint,Purchase,70.52,2026-02-26 02:10:06
TXN-100283,CUST-10673,STR-002,Lumber,purch,80.24,2026-02-16 07:10:06
TXN-100284,CUST-10464,STR-004,Lumber,Purchase,110.83,2026-02-27 23:10:06
TXN-100285,CUST-10325,STR-003,Hardware,PURCHASE,$88.51,2026-02-15 01:10:06
TXN-100286,CUST-10627,STR-001,Paint,purch,$17.79,2026-02-26 01:10:06
TXN-100287,CUST-10370,STR-001,Paint,PURCHASE,79.1,2026-02-14 19:10:06
TXN-100288,CUST-10054,STR-002,Garden,purch,$66.78,2026-02-17 18:10:06
TXN-100289,CUST-10795,STR-001,Paint,purch,$127.19,2026-02-16 02:10:06
TXN-100290,CUST-10902,STR-004,Paint,purch,45.16,2026-02-08 14:10:06
TXN-100291,,STR-001,Lumber,Purchase,24.23,2026-03-01 00:10:06
TXN-100292,CUST-10139,STR-002,Hardware,Purchase,$49.72,2026-02-21 06:10:06
TXN-100293,CUST-10707,STR-003,Lumber,purch,134.01,2026-03-02 04:10:06
TXN-100294,CUST-10209,STR-003,Lumber,ret,$46.03,2026-02-21 18:10:06
TXN-100295,CUST-10689,STR-002,Lumber,Purchase,73.14,2026-02-13 00:10:06
TXN-100296,CUST-10769,STR-001,Lumber,Purchase,117.62,2026-02-24 03:10:06
TXN-100297,CUST-10720,STR-004,Lumber,Purchase,39.9,2026-02-27 13:10:06
TXN-100298,CUST-10495,STR-003,Garden,RETURN,85.58,2026-02-18 19:10:06
TXN-100299,CUST-10333,STR-004,Lumber,Purchase,142.08,2026-02-14 11:10:06
TXN-100300,CUST-10922,STR-003,Hardware,Purchase,33.25,2026-02-18 10:10:06
TXN-100301,CUST-10479,STR-001,Garden,PURCHASE,30.68,2026-02-21 00:10:06
TXN-100302,CUST-10207,STR-003,Hardware,Purchase,130.3,2026-02-05 18:10:06
TXN-100303,CUST-10364,STR-003,Garden,Purchase,$85.72,2026-02-04 23:10:06
